Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-11-01,10:04:42,53,52,52,52,52,53,53,53,53,51,53,717818,575748,629566,779.69,708926,833164,534093,474841,800511,516914,517218
2024-11-01,10:04:45,55,50,50,50,50,53,53,53,53,52,52,916294,827845,807414,767193,859722,799572,900478,818154,658673,816391,656499
2024-11-01,10:04:47,55,52,52,52,52,52,52,52,52,52,53,1348951,852032,642452,709535,1411716,1297728,1802724,1242053,887344,981301,1241999
2024-11-01,10:04:49,55,52,52,52,52,54,53,53,53,51,53,1020442,527487,952921,552777,675678,734.41,1153083,867561,740218,728772,684555
2024-11-01,10:04:51,53,52,52,52,52,52,52,52,52,51,53,821041,825585,920479,819031,763498,1036178,1209543,989967,600.88,621775,631739
2024-11-01,10:04:54,53,52,52,52,52,53,53,53,53,52,52,713782,631854,859547,902793,767249,581517,498592,676292,570226,513059,663783
2024-11-01,10:04:56,53,52,52,52,52,51,51,51,52,51,52,545.18,457142,665561,838066,730506,475356,560432,925372,708692,556968,555748
2024-11-01,10:04:58,53,50,52,52,52,52,52,52,52,52,52,647023,700679,684358,932687,784416,836.32,1291715,2664835,1667735,1089.11,1220907
2024-11-01,10:05:01,53,50,50,50,50,52,52,52,52,51,50,599798,617176,699617,861595,838848,656725,655439,615542,564.71,769818,1048126
2024-11-01,10:05:03,53,51,50,52,52,52,52,51,51,51,52,785951,649516,674953,493996,556374,740652,664151,928186,517.32,702054,552.47
2024-11-01,10:05:05,53,50,50,50,50,53,53,53,53,52,53,543233,627202,549298,589.4,495771,400122,567481,503929,400101,709498,779657
2024-11-01,10:05:07,53,50,50,52,52,51,51,51,51,51,51,567586,1447.87,1576233,1269035,547.29,523185,623338,952925,563946,553379,498311
2024-11-01,10:05:10,53,49,50,50,50,51,51,51,52,51,51,488.64,451476,650914,1003101,917981,504071,744663,519898,707811,724106,444332
2024-11-01,10:05:12,53,50,50,50,50,51,51,51,51,51,52,701854,573345,564927,588006,450.82,497.79,519.63,560621,663498,594506,632598
2024-11-01,10:05:14,53,50,49,49,49,52,52,52,52,50,52,566425,428792,526.9,588799,553.08,649069,554067,557933,638983,790805,909659
